100 200
37 17 750
20 3 857
25 67 590
28 47 640
16 58 815
63 12 643
9 64 692
95 57 939
52 27 799
42 34 668
92 31 971
54 32 524
56 0 912
22 16 917
17 69 938
3 58 843
29 96 882
36 79 893
13 54 894
70 74 596
83 4 866
33 6 806
31 71 752
65 64 529
11 73 630
89 8 965
46 41 677
42 16 824
3 48 720
8 54 699
28 76 886
53 19 568
51 2 715
38 4 590
33 22 886
36 33 993
46 92 756
93 7 694
43 96 953
94 25 569
11 62 501
21 25 596
29 75 854
25 80 831
42 98 577
96 56 702
0 60 621
5 43 644
73 58 700
55 9 821
79 64 508
53 92 598
62 1 514
78 16 991
72 83 685
89 89 710
49 17 585
70 78 560
5 3 919
26 33 699
42 26 664
67 65 636
19 5 705
29 93 820
0 30 892
33 47 581
75 76 711
57 15 954
23 54 522
60 95 921
55 0 920
10 30 605
92 20 733
43 10 513
62 7 896
41 77 898
7 91 818
64 30 549
97 90 944
94 77 959
39 81 837
70 15 520
73 18 882
90 43 540
58 59 563
17 44 830
99 66 672
36 17 748
78 8 626
19 1 919
56 32 680
84 8 831
43 59 782
82 47 552
92 72 624
69 48 506
49 66 726
60 1 625
27 56 845
35 72 790
71 68 184
70 93 169
0 99 143
62 10 185
71 98 131
1 95 127
55 61 185
28 39 144
31 87 191
99 99 162
98 81 113
100 2 165
6 83 185
68 10 107
85 24 176
30 74 162
85 93 148
14 23 121
30 14 151
78 43 196
67 75 167
9 32 193
23 59 100
90 53 123
89 81 188
64 11 134
82 35 113
5 80 153
26 7 188
15 9 183
86 43 110
20 4 138
93 95 122
87 17 120
88 32 142
22 96 181
95 45 111
57 83 180
100 34 179
16 10 155
62 81 181
80 78 150
5 33 126
28 91 139
34 35 162
28 39 142
17 22 134
47 24 180
43 87 161
76 28 110
41 58 190
22 3 131
94 8 104
40 18 146
92 0 168
100 76 130
98 56 159
25 6 175
61 90 108
77 43 116
61 59 172
4 43 122
54 72 108
26 44 171
25 80 119
40 44 160
23 32 118
31 47 188
53 61 109
80 44 102
14 50 170
86 19 173
52 32 113
63 81 184
34 78 182
14 76 142
91 1 157
21 28 104
43 86 158
34 16 140
95 40 109
22 64 139
53 50 109
24 43 127
90 61 126
94 1 160
7 14 149
29 26 180
80 4 109
57 19 130
17 4 198
79 89 192
59 41 130
20 91 172
37 82 115
12 63 109
98 41 105
53 0 194
20 7 192
97 13 110
5 66 170
67 50 100
99 6 132
76 13 125
63 23 150
77 46 131
38 28 145
78 54 140
21 55 172
11 15 178
26 28 189
44 96 145
24 93 171
31 66 107
97 84 184
82 42 193
70 43 121
82 66 162
50 100 120
86 61 174
53 71 199
74 47 163
65 62 160
4 33 138
17 8 187
36 40 147
54 61 180
68 58 131
95 100 106
32 86 131
30 48 116
29 86 170
97 21 132
45 44 198
42 59 145
19 76 169
30 97 188
40 44 114
1 55 139
37 100 159
14 95 128
12 50 171
39 72 100
56 8 167
19 35 106
15 46 127
59 41 148
95 34 160
43 29 130
91 42 117
7 53 145
58 73 179
99 70 129
5 55 148
41 31 102
50 47 103
18 54 189
3 71 181
41 52 143
35 46 117
88 74 166
10 6 166
56 22 111
74 69 135
62 51 121
38 15 114
90 19 169
97 95 172
39 18 143
42 63 103
5 69 107
81 88 134
92 63 111
78 29 164
38 29 195
31 69 161
33 72 128
59 83 129
74 51 165
89 61 105
46 60 175
20 59 176
59 11 159
91 74 184
58 6 163
17 38 115
63 52 188
5 2 187
46 12 110
27 27 129
56 98 180
60 98 186
60 77 166
82 99 189
50 99 192
5 77 167
82 27 144
85 35 109
55 24 196
81 66 174
