200 8000
1538 6569 20088
1815 3454 19977
241 5561 19924
5824 3602 19970
7080 6759 19960
6249 3231 20066
78 1236 19979
3919 3660 19917
463 1805 20096
3617 4389 19978
4333 4460 19970
1953 5031 20075
1155 5606 19929
7043 5085 20070
1788 878 19933
6928 4883 20057
7031 2926 20026
5116 3262 20068
5765 1432 20086
2649 4198 20093
1007 8078 20101
6248 1189 19953
6689 7774 19997
2671 2583 19973
7307 3397 20047
2790 1 20023
79 4758 20078
4425 7272 19956
2504 1345 20032
7224 2442 19980
7 2351 20059
2955 5246 19997
2526 3909 20071
3857 2170 19984
2119 1553 20104
4332 1981 20015
5460 4758 19938
726 3637 20039
420 407 20037
6112 2311 19925
2190 5550 20015
8076 2891 19996
13 7221 19967
2698 3543 20070
3944 521 19993
5953 4099 20097
5501 2660 20058
2014 5349 19985
6564 8086 19988
7391 890 20072
5133 6906 20009
3495 468 20058
3259 1713 20062
793 3200 19924
361 8094 20014
7218 5841 19936
7714 7865 20066
1543 6594 19946
6955 7204 20029
262 6868 19985
2528 4263 20065
5299 5232 20104
7699 7137 20009
5779 1151 19940
7916 5015 20018
193 3632 19998
4280 5260 19972
1844 3647 20050
1151 7419 20084
7669 3287 20022
365 6688 19984
2525 6549 20034
2717 6888 19939
7762 7001 19953
5694 756 20061
6462 553 20031
3355 519 20045
3847 6039 20085
563 7577 20077
2467 960 20088
5357 6408 19939
6369 2471 20011
1688 6777 20083
5367 1583 19992
6534 6110 20044
3571 8126 19927
2173 5479 20101
770 6444 20035
4946 2164 19933
6977 5652 19978
3041 2937 19927
2366 2631 19976
2632 382 19948
2224 3606 19918
7772 2659 20013
4430 7012 20111
5030 6254 19936
2146 4558 19948
4021 3602 20002
1336 2274 19977
1195 1776 19976
4213 706 20032
2543 2616 20007
4170 4704 19972
1248 6416 20011
3733 6182 20016
3053 7190 20107
7524 3182 19940
123 6792 20110
7582 5510 19944
3839 355 20029
3894 5309 20091
5703 2797 19978
8108 7642 20038
7770 6913 20101
2648 3414 19919
3190 4905 20011
2952 3035 19940
5294 2925 19928
7002 6624 20111
4236 8119 20102
381 6585 20016
685 1613 20100
7371 5125 19927
5900 7022 20081
4856 2734 19970
4389 1659 20092
4066 5029 19984
847 4514 20034
6578 4824 20035
283 2754 19980
3023 7683 20106
5269 5156 20055
1582 6283 20063
4572 7212 19985
6770 1799 19981
1136 7875 20065
8118 839 20042
7661 7021 20062
1587 3432 20110
905 6455 19975
4174 6546 20045
5750 5022 20109
3599 1672 19955
997 2980 20031
7042 5137 20104
5632 2933 19957
1158 5458 20098
90 3715 20087
925 6412 20071
5851 7870 20084
5536 2595 20065
951 409 20045
6394 5453 20115
911 4077 19935
7505 948 20030
3499 2724 20027
4924 7925 19978
6227 6043 20088
2038 4797 19969
5431 4292 20008
4067 1252 19921
6891 3124 19936
7812 3957 20070
1936 5536 20115
7993 732 20092
6506 3552 20009
7912 3643 20027
653 2367 19953
3079 7232 20044
6175 3498 20064
7761 6050 20056
1401 23 19999
5217 8196 19960
5585 1981 19986
4257 1 19996
7057 8081 20034
7930 2620 20047
6962 7496 20009
6607 1638 20098
4759 6966 20002
8079 5771 20058
1494 7484 19968
3058 4936 19991
2207 4764 19953
4038 307 19957
4444 4471 20041
2385 2142 20013
1249 7564 20048
2667 2952 19924
7196 6331 20047
6880 6583 20024
5494 7693 19993
35 3782 20038
1814 1460 19956
3119 5904 20112
1064 4108 20051
307 2131 20035
5541 7075 20010
1255 7288 20066
633 7875 1
392 7516 3
1690 4442 1
6248 5348 3
5733 7048 4
2479 915 3
7446 3123 1
2854 7209 4
3885 1504 3
1690 6618 1
4761 1266 1
5539 797 3
5749 2298 3
2545 5061 1
7476 3654 4
3380 2939 1
7574 4377 2
487 8076 3
2610 6775 4
5038 6935 3
2872 1537 4
5048 3285 4
7475 3915 2
7120 4186 3
3418 6670 3
1244 6054 4
3166 2978 2
3367 7742 4
1427 4839 2
2630 3056 1
8091 945 2
261 4560 3
242 6311 3
5566 4789 1
3776 101 1
3576 2620 3
7053 3800 3
5011 3294 3
6077 803 3
5485 2602 3
6177 3293 1
4454 2928 1
1030 4595 4
6424 3801 4
4878 4252 4
4359 4376 1
3301 7818 3
389 3079 4
3600 2118 4
6365 4302 2
4582 2076 4
8192 2106 1
5666 1493 4
3810 3074 3
1615 3057 1
3691 3252 2
4320 3966 4
292 8039 2
1156 253 3
2362 5089 3
5241 125 2
7643 7760 4
383 3788 4
6467 7133 1
3628 7537 2
7913 990 1
1177 8172 4
610 6999 3
6556 1812 3
2251 7819 2
2468 2106 3
1238 5700 4
2935 194 2
1239 5010 3
4894 7695 1
5082 4529 1
7407 2615 4
5119 1055 2
3465 366 3
519 6570 3
1451 6337 3
5791 7689 2
4358 4336 2
8009 1492 3
1173 3314 1
1634 1590 1
7644 5048 4
7103 7303 2
4595 1587 3
927 7378 4
3097 4034 2
586 5562 3
2686 5725 4
4687 1881 3
803 4972 2
1337 1219 3
569 5074 1
2452 851 2
1961 2669 2
5568 6669 2
2655 4684 1
4283 1261 4
7665 2643 3
5484 6678 2
6135 6877 3
7743 2317 1
706 2373 4
4499 3237 2
4586 7157 1
4214 2902 1
4042 2837 3
4263 6244 2
2573 7675 4
3135 1352 1
5513 3111 2
3467 5363 1
7629 7575 4
5881 2514 3
4860 5373 1
1601 3894 3
1093 2045 4
7488 5740 1
3834 3312 2
6323 3376 2
6622 3886 2
7276 5657 2
6205 2535 2
7035 1621 4
258 4168 2
7302 7433 1
3160 1207 3
2948 4726 3
1558 3743 3
3663 2139 3
6300 7187 2
4145 4549 4
7647 2750 3
3151 5301 4
66 3192 3
6911 7221 3
1274 3400 3
4777 1625 2
1601 1824 3
7668 4197 2
4507 1807 1
3237 825 2
1470 607 2
8069 1343 3
5028 70 3
907 902 1
6293 6740 4
766 1041 2
2046 2480 1
7994 7977 4
79 6974 4
1375 6316 2
3098 7665 3
7616 3810 2
4988 4192 3
7731 4709 1
5252 7165 4
2937 8197 4
7723 1444 2
6973 5214 4
7547 587 2
328 1152 3
1649 7215 2
4047 2996 4
5392 7149 2
4408 4409 4
8037 6862 1
5488 6201 1
6362 8010 4
1512 1486 2
896 6056 2
3091 4133 3
6977 2662 3
4412 1558 4
8043 3309 4
3218 2611 1
8113 2107 4
8068 937 1
6686 1131 4
7729 5669 3
6683 1048 1
4177 1179 3
1314 3347 3
283 7094 4
4676 7682 4
4480 5101 4
5362 3666 2
1022 3470 2
7259 4470 2
7619 4879 4
5216 6401 3
2469 4940 3
2926 1862 2
6240 2204 3
6390 5760 2
852 5737 2
4038 7896 4
6482 3569 4
2296 553 3
4095 5090 2
198 6531 3
6230 3400 3
7700 5873 1
6799 2506 1
4501 7872 1
7798 7920 3
6448 3230 4
6618 6464 3
603 2426 4
4809 3279 1
4163 1370 2
1643 7461 3
1415 2000 3
640 7264 3
7575 5863 4
7455 3386 4
3585 3530 2
436 3691 2
883 1213 2
5569 5766 1
3604 4697 3
8169 7200 2
6713 3039 4
3887 6016 2
7805 352 1
5870 204 2
7133 4767 1
7262 4112 2
7355 777 4
648 1008 3
1325 1400 4
2046 981 1
4594 3051 4
7695 373 2
3226 1692 4
7296 5028 3
7592 8110 2
2791 1722 3
2346 7479 3
805 2913 4
4752 5223 1
3962 6692 2
1785 3623 3
347 7393 2
1950 5440 1
3027 6094 4
2888 5243 2
863 5784 3
6787 3320 3
7209 5056 3
1465 5837 4
3015 4298 2
4523 2872 3
4841 7267 4
4951 3132 4
5810 7191 1
5527 458 2
1276 1427 2
5874 5907 2
294 4889 4
8073 7790 2
6607 3737 1
3294 4320 3
4028 2942 4
2938 5650 2
4397 4827 3
1531 825 2
5986 796 2
282 7081 3
6720 5364 3
6174 7120 4
7422 8087 4
1613 5952 4
3924 5408 1
893 695 1
2820 6041 2
1378 7681 3
4542 3180 3
4475 8064 1
7056 4752 4
2686 8111 3
2154 6734 2
4420 451 3
6868 6809 1
1473 43 4
5845 3089 4
1796 5860 3
6813 530 2
7747 557 1
2841 4948 2
235 4066 2
1100 8107 2
32 7271 3
4489 2919 3
4799 988 4
7232 3193 3
4506 2811 3
6460 7383 4
5404 1407 1
2048 5690 2
2190 1106 4
4506 8008 4
481 4781 2
2086 4149 3
938 1612 4
7834 2026 2
7349 7737 3
8123 740 2
5447 3278 3
8021 5457 3
2743 5480 4
5813 3629 2
6072 3502 2
3178 7087 1
6053 2726 4
3060 6543 4
2897 1732 1
954 4285 2
918 4905 4
7608 1197 1
4366 7448 1
2901 4293 4
4285 6357 2
2670 5564 1
2139 1952 1
1317 3168 2
6393 3063 4
4724 2201 3
4282 7361 3
6592 7276 1
3429 5451 1
6124 6301 2
1441 2271 2
1009 3297 3
2334 2064 4
3088 7742 4
6717 419 2
7679 804 4
1083 2615 1
3857 133 3
5409 6581 4
5382 6185 1
4762 2151 1
1630 5270 3
2174 3291 2
6686 5382 3
3325 4024 2
759 1918 1
4051 769 1
4497 1587 4
7657 1292 4
984 5316 1
3093 7525 4
5781 6942 3
5381 968 4
7128 4148 1
2603 2612 3
3367 2527 1
521 6029 1
417 3898 4
3310 800 3
245 6438 2
622 7783 4
5820 5285 3
284 7814 4
3594 6192 4
2064 6724 4
718 235 2
664 736 2
5156 6153 2
1420 7433 4
2887 8161 2
4364 3930 1
3179 4563 1
573 5299 2
4032 3174 2
1574 7619 3
2690 7952 2
5192 5747 1
2803 5199 1
383 3002 3
6161 2098 2
4124 4065 3
3896 1407 2
1178 4262 3
706 7020 2
7813 3409 4
1340 2487 4
1706 4164 1
6519 7576 4
4437 3436 1
3138 1307 2
3308 2518 3
1585 2920 1
7288 5282 3
2753 5416 2
5522 5185 2
4020 6684 1
3910 6964 2
6014 3560 1
4506 1819 1
5450 6435 2
6526 281 2
3870 5719 3
2713 3317 2
1681 4835 3
5976 7660 3
3110 6231 1
4766 4743 4
7585 3515 4
5539 7883 2
6507 232 4
7231 2872 3
5079 5127 3
7977 5515 3
7662 5408 4
7704 6439 2
2669 4307 4
5312 8085 4
4712 3853 1
1565 2881 2
6273 4000 2
1293 1244 3
4282 6409 4
1448 7419 2
7893 1921 2
2599 4190 3
7691 2375 3
6361 4618 3
2722 5595 4
2871 5766 3
5125 2792 3
709 7813 1
1845 1318 2
6875 565 3
8007 5800 2
7881 2195 1
5908 2682 1
6673 1121 2
5070 4955 2
50 3443 4
4713 4102 1
2257 1045 4
4563 6245 4
2593 643 2
7700 7210 3
3899 3168 2
4641 5381 2
5459 1178 2
5526 6732 4
5708 6881 1
6668 6250 2
7107 6740 3
20 858 4
2593 2081 2
2609 1281 1
6069 7367 2
6879 6125 4
4385 1583 4
5784 65 1
3456 398 3
2056 5767 1
5313 590 2
8054 2461 4
8192 5334 4
2859 3654 1
4882 6709 2
7460 5176 1
1570 5575 2
7668 6736 1
667 1229 3
6030 5142 4
7053 5799 2
1080 2301 3
5140 5648 1
6048 5650 3
4762 4822 1
6472 4478 1
3657 5982 4
6504 6426 4
566 1202 4
2107 1545 1
4056 3440 3
7923 1250 4
2994 2988 3
8047 6650 3
5315 1540 1
5022 1470 4
2514 3110 1
305 3439 2
6158 407 4
1953 6454 3
5991 2679 4
492 7846 4
2141 5439 2
1126 1125 4
2154 4936 2
6490 2928 4
8194 5507 4
7174 3287 2
6211 6312 2
1734 3639 2
4908 7270 4
7296 1365 3
7124 4006 2
5062 2603 4
5425 7928 4
966 404 3
6627 3352 3
757 1112 3
1890 5743 2
4029 2044 3
3820 2641 4
5436 5748 2
1398 3160 3
2248 3132 3
5951 5354 4
5422 3707 3
6057 7430 1
5463 3907 2
3111 3735 2
1621 8059 2
7646 2948 3
7495 1941 4
6791 916 2
5292 1333 3
7877 5385 4
5381 1178 1
7713 3557 2
1042 7227 4
8014 1816 3
1886 1083 2
4929 6284 3
3948 8029 3
41 2866 3
7066 7072 2
7227 3868 3
3235 7258 1
1029 3308 3
4015 2114 1
4846 4088 3
1165 1619 4
4762 206 4
6483 1186 2
767 1375 2
2395 7207 3
5237 4149 4
7710 5766 2
7983 6786 4
7476 227 4
4744 6677 4
2188 2013 1
4925 6636 4
568 4701 3
4616 5348 4
2858 1715 1
638 7211 3
5806 7915 3
6707 751 4
2476 7436 1
3087 5824 4
6036 4179 2
956 7210 2
2076 7583 1
1419 6300 3
7432 4365 3
404 4133 1
4478 5049 1
3417 5740 2
2980 1844 3
8081 7040 4
1682 3723 3
1340 5874 2
812 1695 4
7456 2644 3
7563 1197 2
265 5876 2
7874 1636 4
1008 7499 2
8063 1061 1
2751 437 2
4475 7911 4
4679 4645 3
4665 4205 4
8168 1504 2
539 5533 2
3028 7781 3
2686 7252 3
8148 4179 4
1941 1570 1
5471 2201 2
1282 5787 4
1453 6248 3
5329 3798 4
3070 4175 4
5066 1932 2
1772 1050 2
3618 2364 4
7749 7716 1
3009 4437 1
5725 6140 1
993 6803 1
5923 934 2
2988 1208 1
535 6312 3
6864 5003 2
203 6870 3
2975 3831 3
1068 8056 4
1522 3197 3
1094 2398 3
1466 181 4
4837 701 2
938 6834 2
2677 6363 2
3442 6956 4
7056 2544 2
4667 7165 3
2196 183 4
3133 1403 4
6724 728 2
5320 4945 4
3223 2762 4
2516 2114 2
6124 2210 2
1071 3550 3
5810 4935 3
4724 5815 1
7499 6370 4
1654 4158 4
7019 5600 1
3648 7260 2
3201 7670 1
3652 6222 4
5885 6212 3
6579 2941 4
1713 5588 1
3216 1433 3
3349 3310 2
1056 3647 3
3867 6300 1
179 1810 1
3118 5685 1
5377 3533 2
1088 3938 2
6993 2018 3
3886 326 3
1276 8114 1
5711 5058 2
7481 5722 2
3464 4843 2
2094 2477 1
5581 5963 1
1826 687 4
5972 6095 3
2909 7119 4
1543 8199 3
3943 4290 4
443 46 1
4468 2613 2
367 2442 3
2058 7498 1
3313 3839 3
5431 2360 3
4143 1390 4
4235 1615 4
6719 2271 1
2948 1709 4
2114 7617 4
5733 1583 1
4863 2283 2
3587 5293 3
893 571 1
6180 3775 3
1474 5297 1
5852 6987 1
3108 5768 2
7085 6831 1
4043 4005 4
5146 6552 1
2737 2420 4
4047 2517 3
3613 156 2
3749 6894 2
2383 1195 2
7238 5811 1
4423 5872 1
4019 4356 4
1660 5912 2
4767 4080 2
979 2437 3
7276 1721 4
2738 4421 1
4055 3875 3
5269 7134 1
3337 7518 2
7329 918 2
7990 6121 4
6630 4111 1
6172 5780 2
396 7436 3
265 5897 2
4041 5495 4
4606 3930 2
2868 6673 1
999 1354 2
2129 460 3
7470 5161 1
1546 6274 2
7765 2729 2
3235 3065 1
322 714 2
7530 3768 4
3091 2943 3
6176 54 1
447 6135 3
1015 1090 3
3318 4641 2
118 39 1
6714 6787 2
117 6973 4
5077 7500 3
7235 678 3
6115 5210 1
7007 2019 1
613 7401 4
4338 2741 1
6156 2759 1
4823 1417 1
2950 3828 4
497 742 4
6082 6008 3
6832 6051 1
7329 713 1
3692 236 1
5941 3081 2
3426 430 4
481 6041 1
6045 3560 2
2931 7016 3
5714 328 2
372 3348 2
4915 4904 1
5486 3299 3
524 7865 3
1936 2830 3
1533 5167 3
5811 1735 2
778 1233 1
552 5877 2
239 3788 1
2202 3376 2
4238 6875 1
5563 4221 4
7918 1822 1
6041 7627 2
42 1076 1
2941 4468 4
6637 6721 3
4826 66 4
16 7956 1
1700 1022 2
526 7116 1
192 3300 1
3302 637 4
6858 7975 4
4786 8168 3
2725 3153 4
3582 2462 2
1589 778 2
5246 741 1
3997 2694 4
1145 2218 1
1415 1827 2
7710 5564 1
448 4262 2
7038 6482 4
7966 5428 1
6203 1193 2
1429 510 2
5186 3726 1
6525 8029 3
5902 6839 3
5069 6811 2
1850 2601 2
574 22 2
4534 4418 3
4003 5828 4
4998 6134 3
153 947 1
7643 6006 4
6128 5371 4
1307 2798 1
3105 4284 2
4723 241 3
7185 7454 2
7890 2305 3
660 494 4
3984 1242 3
8108 6936 1
4230 4237 3
7175 6782 1
2915 1752 2
1721 8101 2
8132 4857 4
3683 788 3
110 4254 2
3363 7185 4
3054 3074 2
6194 2306 1
7416 1413 1
5171 7120 2
4259 7430 4
4569 7460 2
6236 8171 4
3709 8047 1
4891 7034 4
504 1925 3
5837 7344 1
5563 1344 4
1997 6763 3
3402 3055 3
3172 4794 4
1283 3331 3
945 3739 3
4480 800 1
590 7187 2
729 824 4
4054 3878 1
1212 5620 4
3112 2247 2
5566 1909 3
475 473 2
277 863 2
8157 499 3
6571 7000 2
3218 5588 3
5240 6307 2
4093 6655 4
1141 1791 2
8181 7573 3
4348 6379 3
392 145 1
3368 3935 2
1232 1754 2
6714 304 4
7739 7142 3
3267 7820 3
4916 600 3
7166 6640 4
4194 3254 1
887 517 2
1023 4218 4
4710 5599 4
56 3613 1
7597 6088 3
3719 5537 2
949 6789 1
1703 7796 2
7522 1947 2
3498 7633 1
1684 208 2
575 6468 1
3932 3340 2
1799 1090 1
3143 4139 2
2498 1144 4
5739 510 4
6675 3095 3
6448 4685 4
6997 6577 3
7499 567 1
5150 5871 3
4002 6930 4
8020 316 3
884 5394 2
2695 7835 2
2824 1449 4
6825 2401 2
7761 3586 2
840 4616 3
7623 2582 1
4596 221 3
2175 4671 1
3533 3103 4
4800 5925 3
4496 4070 2
6602 1792 3
535 5456 2
1280 4142 4
2047 7583 1
5512 8121 1
1385 8070 4
4215 4392 1
6475 1054 3
1182 6360 4
7135 5625 2
8151 6335 1
2182 4787 2
3749 4746 1
2240 700 1
3445 5297 4
5176 877 2
1421 4960 4
885 3792 3
2526 3014 4
4182 5366 4
1652 831 1
3173 137 3
1614 1138 1
1430 2376 3
6883 834 4
7678 1261 1
1618 506 1
3526 6370 1
6911 1227 4
2298 4117 2
6269 5648 3
2478 1438 2
6638 2748 3
29 796 1
754 905 1
7946 4886 4
5583 742 4
7405 7599 1
4635 7295 3
528 6823 2
1030 747 3
1202 6721 1
2003 704 2
5120 3332 4
1940 7262 2
5335 7200 1
6304 2364 4
4487 360 4
450 7261 4
2438 2336 4
7462 6054 2
2854 8062 4
5152 924 4
6939 2305 3
5097 2402 4
303 411 2
5151 7470 3
5493 6867 3
6355 4177 1
5551 3105 2
7958 3083 4
7089 4209 4
4303 31 1
7040 1580 2
6473 1756 1
645 5801 2
4849 2051 3
6138 1206 2
7953 229 1
5169 5064 1
5283 1309 3
2549 1623 4
4564 5307 1
4295 3134 4
6584 7532 3
5318 1518 1
7552 3191 4
6772 7405 4
6353 7240 1
6887 3291 2
5499 4574 3
7163 4464 3
1150 7627 3
4320 4826 4
45 4532 3
1846 611 1
3714 2975 2
142 7467 3
5963 1464 4
3421 4809 1
2818 5904 4
3450 1165 1
1840 7387 2
3434 459 3
3780 138 2
4080 1179 2
3846 7940 4
2319 525 3
600 7767 4
2087 5463 1
5097 3888 3
799 3301 1
5492 1737 4
2312 4939 1
4797 6350 1
877 2021 1
5180 4495 2
2941 1855 3
6298 3934 1
7021 1429 3
2343 7806 4
1021 1470 1
7721 5121 4
5613 5477 4
1522 1712 2
2463 1264 2
7678 7554 4
766 2716 4
7657 5006 3
5254 7463 4
3435 1967 3
7679 3271 1
120 3171 1
3783 6578 2
2552 3367 2
7405 5298 2
7279 6693 3
1120 6709 4
3323 8006 1
4925 6175 4
7156 4284 4
7784 3908 1
4891 3267 1
3468 1577 3
5788 2659 3
3993 2244 1
4625 1170 1
7928 3872 2
2555 3438 2
4735 4637 2
333 7880 2
7526 5957 4
3342 5338 2
364 2179 4
3243 3078 1
4368 4591 4
1177 6070 1
5839 2182 3
5791 6593 1
438 3563 1
3080 2593 2
4167 5107 3
7565 3051 3
3683 3853 2
5782 4499 4
1216 2505 2
4289 4443 2
1760 6421 1
1116 333 1
6820 6874 3
3705 6917 4
4730 4275 1
3547 3189 3
107 974 1
701 5959 1
6246 2084 2
7247 6299 2
1277 6462 3
1375 1806 4
6488 4789 1
6887 1822 4
1854 3752 1
2169 4637 4
1331 4959 1
4461 8078 3
2227 1799 1
6903 4952 3
6344 5980 4
6550 4782 4
2270 168 1
292 2790 2
2062 7884 3
885 6847 4
323 1760 2
75 1948 4
4981 7036 1
473 2639 3
7262 1893 1
5672 1867 3
5243 7152 2
374 7082 1
6879 1678 4
5853 2930 1
6140 625 4
42 848 4
3199 7574 2
1568 6345 3
4403 4066 4
1758 4659 4
1945 5761 3
5943 3389 3
2784 547 2
7847 7946 4
7813 4387 1
141 7809 1
4125 1557 1
6061 7915 1
3247 1881 2
380 5058 1
2598 5451 1
6082 4270 1
2117 549 4
